,artist_id,genre
160,1cSpfa4Un4NCOzeOKgGtG9,emo
161,1cSpfa4Un4NCOzeOKgGtG9,pop punk
162,1cSpfa4Un4NCOzeOKgGtG9,punk
163,1cSpfa4Un4NCOzeOKgGtG9,ska punk
164,1cSpfa4Un4NCOzeOKgGtG9,skate punk
165,2Mi20SSCqDqjMRsJXHD72f,classical performance
166,2Mi20SSCqDqjMRsJXHD72f,opera
167,3AGFqPP3gt5rMSvhR87Xxu,german metal
168,3AGFqPP3gt5rMSvhR87Xxu,hard rock
169,3AGFqPP3gt5rMSvhR87Xxu,melodic metal
170,3AGFqPP3gt5rMSvhR87Xxu,metal
171,3AGFqPP3gt5rMSvhR87Xxu,neo classical metal
172,3AGFqPP3gt5rMSvhR87Xxu,power metal
173,3AGFqPP3gt5rMSvhR87Xxu,progressive metal
174,3AGFqPP3gt5rMSvhR87Xxu,speed metal
175,3AGFqPP3gt5rMSvhR87Xxu,symphonic metal
176,3NKKngINK1tP6BFy0WOyWk,brostep
177,3NKKngINK1tP6BFy0WOyWk,deep groove house
178,3NKKngINK1tP6BFy0WOyWk,edm
179,3NKKngINK1tP6BFy0WOyWk,electro house
180,3NKKngINK1tP6BFy0WOyWk,pop edm
181,2mg9AmMi3b9jTbaOR5If4C,anime rock
182,2mg9AmMi3b9jTbaOR5If4C,j-poprock
183,2mg9AmMi3b9jTbaOR5If4C,japanese pop punk
184,6zrXmqDEqtBFUZo6jedNf0,melodic rap
185,2s7dm9RxxQaLtAXbWjQeco,classical soprano
186,2s7dm9RxxQaLtAXbWjQeco,opera
187,03MVmfitJTVJIxYmObhQn9,big room
188,03MVmfitJTVJIxYmObhQn9,deep big room
189,03MVmfitJTVJIxYmObhQn9,dutch edm
190,03MVmfitJTVJIxYmObhQn9,edm
191,03MVmfitJTVJIxYmObhQn9,electro house
192,03MVmfitJTVJIxYmObhQn9,pop edm
193,03MVmfitJTVJIxYmObhQn9,progressive electro house
194,03MVmfitJTVJIxYmObhQn9,progressive house
195,03MVmfitJTVJIxYmObhQn9,sky room
196,3FgR6lfwIY7VD2lDryeh1e,latin hip hop
197,3FgR6lfwIY7VD2lDryeh1e,reggaeton
198,2B5kQmKOjo8La5e2LRCe9m,modern reggae
199,2B5kQmKOjo8La5e2LRCe9m,riddim
200,30rNCtpbgMaznRM9h8jlLv,anime
201,30rNCtpbgMaznRM9h8jlLv,otacore
202,4Hwetfrw6mAJJibkHgF8uH,lovers rock
203,5x9frwvmYfa77Kt5hJs9d7,southern soul blues
204,2bl0Qv6eSrkSw82UCFQCCS,deep ragga
205,2bl0Qv6eSrkSw82UCFQCCS,old school dancehall
206,3Ou1A4AzzSBZ8stW81wzJt,deep cumbia sonidera
207,5ApIOijCFHDosTPLg1uriY,emo rap
208,5ApIOijCFHDosTPLg1uriY,glitchcore
209,5ccyh1kIfmtUfJf4d5wchx,harpsichord
210,29ijED2bnnprp2TciAK1aO,contemporary country
211,7H2vhIrsFEQnkB7TDBuLXa,trap latino
212,4Ej7Oks6loB2oJQ3O7Rujs,rhythm and blues
213,2U3FuHYvL3vhkbDAXm24Ep,neo soul
214,2U3FuHYvL3vhkbDAXm24Ep,uk contemporary r&b
215,0LABm4XsKqDm0Ha30gxpAP,ska catala
216,0LABm4XsKqDm0Ha30gxpAP,traditional ska
217,0kvh70DV0fgXwIVVtwNs9y,nu jazz
218,0kvh70DV0fgXwIVVtwNs9y,trip hop
219,4aEnNH9PuU1HF3TsZTru54,alternative dance
220,4aEnNH9PuU1HF3TsZTru54,chillwave
221,4aEnNH9PuU1HF3TsZTru54,electronica
222,4aEnNH9PuU1HF3TsZTru54,electropop
223,4aEnNH9PuU1HF3TsZTru54,folktronica
224,4aEnNH9PuU1HF3TsZTru54,indie rock
225,4aEnNH9PuU1HF3TsZTru54,indie soul
226,4aEnNH9PuU1HF3TsZTru54,indietronica
227,4aEnNH9PuU1HF3TsZTru54,intelligent dance music
228,4aEnNH9PuU1HF3TsZTru54,new rave
229,4HOEnLufwAqJ2qoJPVnL01,classic opm
230,4HOEnLufwAqJ2qoJPVnL01,opm
231,4HOEnLufwAqJ2qoJPVnL01,pinoy rock
232,64RpspUzL6BOUNEs07IuPr,deep disco house
233,797OTNZjzrWCZnkRVY1Gtp,vallenato
